date,run,model_sha256,context_tokens,generated_tokens,peer_calls,skipped_calls,peer_copy_classify_mean_ms,gpu0_moe_mean_ms,passive_total_mean_ms,activation_control_mean_ms,peer_compute_mean_ms,slot_return_mean_ms,join_allowance_mean_ms,owner_total_mean_ms,reduction_pct,max_delta,rms_delta,qualification
2026-07-10,1,31598c67c8b8744d3bcebcd19aa62253c6dc43cef3b8adf9f593656c9e86fd8c,16,2,773,1,0.133722,0.197158,0.330879,0.024,0.169,0.013,0.005517,0.211517,36.07,0,0,"Diagnostic duplicate compute; all six selected experts peer-owned."
2026-07-10,2,31598c67c8b8744d3bcebcd19aa62253c6dc43cef3b8adf9f593656c9e86fd8c,16,2,773,1,0.128220,0.197204,0.325425,0.023,0.169,0.012,0.005545,0.209545,35.61,0,0,"Diagnostic duplicate compute; all six selected experts peer-owned."
2026-07-10,3,31598c67c8b8744d3bcebcd19aa62253c6dc43cef3b8adf9f593656c9e86fd8c,16,2,773,1,0.081303,0.191267,0.272571,0.018,0.165,0.012,0.005539,0.200539,26.43,0,0,"Diagnostic duplicate compute; all six selected experts peer-owned."
