date,model_sha256,context_tokens,generated_tokens,trace_rows,staging_calls,local_slots,peer_slots,prefill_tps,gen_tps,steady_tps,disk_read_gib,unique_hits,unique_misses,trace_read_bytes,decode_misses,decode_read_bytes,exact_lru_evictions,best_alternative,best_byte_reduction_pct,runtime_policy_gate,qualification
2026-07-11,31598c67c8b8744d3bcebcd19aa62253c6dc43cef3b8adf9f593656c9e86fd8c,2048,96,1106304,8342,701,3944,29.78,3.08,3.83,257.53,45118,23560,166755041280,4418,31270109184,0,decode-protected,0.00,no,"Larger-context trace; cache still below capacity, all useful policies tie exact LRU."
2026-07-11,31598c67c8b8744d3bcebcd19aa62253c6dc43cef3b8adf9f593656c9e86fd8c,2048,192,1155840,16598,701,3944,29.89,4.04,4.65,269.93,92819,25439,180054392832,6253,44258033664,1608,decode-protected,0.00,no,"Pressure trace reaches 1608 exact-LRU evictions; every alternative ties or increases bytes."
